epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,359.038,1.27915,0.61964,0.92226,0.8844,0.91193,0.93222,0.53099,1.45527,0.67259,0.95907,0.000371313,0.000371313,0.000371313
43,367.276,1.3024,0.62975,0.92772,0.88484,0.91636,0.93201,0.52745,1.43752,0.66635,0.95949,0.000365125,0.000365125,0.000365125
44,375.762,1.2917,0.62527,0.91843,0.91193,0.92009,0.9391,0.52032,1.45887,0.64277,0.96126,0.000358938,0.000358938,0.000358938
45,384.517,1.32254,0.63428,0.91126,0.88488,0.91446,0.92185,0.50331,1.48592,0.64403,0.96112,0.00035275,0.00035275,0.00035275
46,392.188,1.23668,0.58916,0.91214,0.86918,0.91531,0.92435,0.52288,1.47618,0.64493,0.95738,0.000346563,0.000346563,0.000346563
47,404.055,1.25689,0.61235,0.92096,0.85486,0.91116,0.9205,0.52001,1.45842,0.64602,0.96122,0.000340375,0.000340375,0.000340375
48,411.734,1.23541,0.59894,0.89841,0.89678,0.91704,0.93062,0.50854,1.4579,0.65139,0.96296,0.000334188,0.000334188,0.000334188
49,419.774,1.19445,0.59427,0.91878,0.89943,0.88579,0.93056,0.52903,1.43122,0.6364,0.95683,0.000328,0.000328,0.000328
50,429.469,1.25626,0.60389,0.92444,0.89484,0.89212,0.93196,0.52128,1.44644,0.63677,0.9603,0.000321812,0.000321812,0.000321812
51,437.07,1.2449,0.5951,0.92047,0.89705,0.90205,0.93564,0.52191,1.44755,0.63084,0.96308,0.000315625,0.000315625,0.000315625
52,445.885,1.23516,0.59208,0.91796,0.90412,0.91229,0.93815,0.54212,1.41,0.6124,0.95068,0.000309437,0.000309437,0.000309437
53,453.707,1.24112,0.5874,0.90431,0.90131,0.91016,0.93523,0.53204,1.4397,0.61885,0.95336,0.00030325,0.00030325,0.00030325
54,462.272,1.24276,0.59693,0.90455,0.90086,0.90775,0.93369,0.52708,1.48393,0.62733,0.95688,0.000297063,0.000297063,0.000297063
55,469.235,1.23546,0.59501,0.91693,0.8952,0.8993,0.92911,0.51255,1.49563,0.64089,0.96082,0.000290875,0.000290875,0.000290875
56,476.696,1.24831,0.59393,0.91381,0.90788,0.90598,0.9362,0.53025,1.42164,0.61614,0.95252,0.000284688,0.000284688,0.000284688
57,486.093,1.22271,0.58817,0.90105,0.91947,0.89791,0.93583,0.53119,1.41592,0.62078,0.95004,0.0002785,0.0002785,0.0002785
58,498.303,1.2185,0.57991,0.91246,0.91788,0.89224,0.93485,0.53472,1.43857,0.62958,0.95322,0.000272313,0.000272313,0.000272313
59,506.19,1.23836,0.58496,0.90348,0.92417,0.90404,0.948,0.53029,1.44388,0.63984,0.95646,0.000266125,0.000266125,0.000266125
60,515.125,1.15789,0.56502,0.89264,0.92419,0.90206,0.94579,0.53804,1.42733,0.62804,0.95679,0.000259938,0.000259938,0.000259938
61,522.824,1.22782,0.58467,0.92472,0.92321,0.91268,0.94198,0.54823,1.44863,0.62184,0.95531,0.00025375,0.00025375,0.00025375
62,531.582,1.22301,0.58943,0.91086,0.90696,0.90204,0.92967,0.52739,1.47295,0.6277,0.95772,0.000247563,0.000247563,0.000247563
63,539.456,1.22683,0.58134,0.89116,0.91183,0.90122,0.93304,0.51295,1.48153,0.63027,0.95997,0.000241375,0.000241375,0.000241375
64,548.808,1.24273,0.5945,0.89521,0.90706,0.90598,0.93386,0.5077,1.49924,0.64156,0.96762,0.000235188,0.000235188,0.000235188
65,561.023,1.25301,0.59391,0.90818,0.90508,0.89756,0.93303,0.52752,1.45432,0.63432,0.95876,0.000229,0.000229,0.000229
66,567.974,1.19598,0.57379,0.90357,0.91023,0.90872,0.93948,0.53679,1.43882,0.6175,0.95575,0.000222813,0.000222813,0.000222813
67,577.855,1.19236,0.56732,0.89088,0.91796,0.90553,0.94242,0.54199,1.42992,0.61444,0.95393,0.000216625,0.000216625,0.000216625
68,585.226,1.20024,0.56584,0.88081,0.91783,0.9034,0.94224,0.51285,1.47879,0.62973,0.96897,0.000210437,0.000210437,0.000210437
69,593.425,1.17863,0.55994,0.8882,0.90507,0.90553,0.93284,0.50001,1.48724,0.63721,0.96709,0.00020425,0.00020425,0.00020425
70,601.199,1.17108,0.55718,0.90799,0.90926,0.90979,0.93941,0.51931,1.4592,0.6248,0.96011,0.000198063,0.000198063,0.000198063
71,609.51,1.16605,0.55265,0.89739,0.92343,0.91736,0.95348,0.51983,1.44078,0.61235,0.95336,0.000191875,0.000191875,0.000191875
72,617.667,1.17866,0.56106,0.90041,0.91028,0.91449,0.94374,0.52738,1.44001,0.61119,0.95387,0.000185688,0.000185688,0.000185688
73,625.124,1.11383,0.53921,0.89254,0.91391,0.93265,0.94824,0.51818,1.42909,0.60106,0.95131,0.0001795,0.0001795,0.0001795
74,634.063,1.14207,0.54334,0.90185,0.90527,0.93275,0.94897,0.51077,1.45231,0.61173,0.95443,0.000173313,0.000173313,0.000173313
