epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,86.5127,1.57363,0.86126,1.00342,0.75988,0.88245,0.89422,0.49015,1.67148,0.89209,1.00876,0.000332435,0.000332435,0.000332435
24,89.8524,1.51563,0.78571,0.96193,0.78622,0.84349,0.89211,0.4769,1.65722,0.89738,0.99229,0.000342708,0.000342708,0.000342708
25,92.6828,1.50556,0.79438,0.98377,0.83054,0.86119,0.8927,0.47707,1.62194,0.8323,0.98491,0.00035261,0.00035261,0.00035261
26,96.11,1.49103,0.77184,0.95526,0.85629,0.85302,0.89241,0.49579,1.6206,0.83046,0.98661,0.000362141,0.000362141,0.000362141
27,102.141,1.49037,0.75872,0.94876,0.81456,0.8584,0.89585,0.49558,1.66978,0.90198,0.99182,0.0003713,0.0003713,0.0003713
28,104.896,1.48979,0.76708,0.97558,0.8431,0.89491,0.92373,0.50425,1.62631,0.87491,0.98162,0.000380088,0.000380088,0.000380088
29,108.361,1.49231,0.7826,0.97382,0.8431,0.89491,0.92373,0.50425,1.62631,0.87491,0.98162,0.000388505,0.000388505,0.000388505
30,113.742,1.45441,0.75866,0.96415,0.83103,0.86649,0.90993,0.50336,1.62949,0.81345,0.98824,0.000396551,0.000396551,0.000396551
31,118.005,1.45461,0.75119,0.96627,0.83504,0.81772,0.90507,0.51397,1.66452,0.83525,1.00229,0.000404225,0.000404225,0.000404225
32,122.551,1.48133,0.75897,0.96388,0.72183,0.89918,0.92014,0.52445,1.60773,0.7978,0.99412,0.000411528,0.000411528,0.000411528
33,127.799,1.43571,0.72705,0.94387,0.72183,0.89918,0.92014,0.52445,1.60773,0.7978,0.99412,0.00041846,0.00041846,0.00041846
34,132.432,1.44285,0.72932,0.95447,0.75935,0.90555,0.92083,0.52288,1.5515,0.78721,0.97964,0.000420812,0.000420812,0.000420812
35,135.474,1.48287,0.74272,0.94876,0.79468,0.90269,0.92847,0.53154,1.5593,0.76674,0.98356,0.000414625,0.000414625,0.000414625
36,141.76,1.47247,0.74067,0.93929,0.83326,0.88383,0.91693,0.53024,1.57497,0.78518,0.98669,0.000408438,0.000408438,0.000408438
37,144.434,1.4382,0.72938,0.94688,0.83326,0.88383,0.91693,0.53024,1.57497,0.78518,0.98669,0.00040225,0.00040225,0.00040225
38,147.931,1.39625,0.72798,0.95439,0.87461,0.87202,0.92022,0.53847,1.63791,0.77695,1.00197,0.000396063,0.000396063,0.000396063
39,154.431,1.38197,0.69328,0.93285,0.85758,0.87024,0.92047,0.51987,1.6539,0.76439,1.00503,0.000389875,0.000389875,0.000389875
40,159.731,1.45388,0.72496,0.93862,0.89378,0.87303,0.92408,0.52909,1.58508,0.75114,0.98636,0.000383688,0.000383688,0.000383688
41,163.033,1.38402,0.69581,0.93554,0.89378,0.87303,0.92408,0.52909,1.58508,0.75114,0.98636,0.0003775,0.0003775,0.0003775
42,168.071,1.43388,0.71779,0.93907,0.87184,0.90059,0.918,0.50419,1.56616,0.79499,0.97858,0.000371313,0.000371313,0.000371313
43,172.767,1.46409,0.72836,0.93819,0.85562,0.89053,0.91198,0.50076,1.57955,0.79343,0.97933,0.000365125,0.000365125,0.000365125
44,177.738,1.39214,0.70769,0.92832,0.8608,0.91649,0.93428,0.5063,1.57674,0.76288,0.97598,0.000358938,0.000358938,0.000358938
45,180.588,1.40889,0.71379,0.94737,0.8608,0.91649,0.93428,0.5063,1.57674,0.76288,0.97598,0.00035275,0.00035275,0.00035275
46,183.415,1.38893,0.6877,0.94766,0.89368,0.90165,0.93907,0.52437,1.6397,0.74896,0.98142,0.000346563,0.000346563,0.000346563
47,186.068,1.37354,0.67516,0.94348,0.91384,0.91448,0.9467,0.52668,1.68453,0.75662,0.98627,0.000340375,0.000340375,0.000340375
48,189.327,1.41422,0.6867,0.93152,0.89791,0.91694,0.94054,0.52559,1.61794,0.7411,0.97264,0.000334188,0.000334188,0.000334188
49,192.743,1.39514,0.67793,0.91665,0.89791,0.91694,0.94054,0.52559,1.61794,0.7411,0.97264,0.000328,0.000328,0.000328
50,195.557,1.37674,0.67771,0.93308,0.8785,0.90944,0.92753,0.52634,1.58223,0.72256,0.9637,0.000321812,0.000321812,0.000321812
51,198.338,1.3926,0.68565,0.93482,0.8101,0.85233,0.85274,0.51672,1.56922,0.72262,0.95932,0.000315625,0.000315625,0.000315625
52,200.9,1.39534,0.68556,0.94573,0.87238,0.90116,0.93182,0.52895,1.53644,0.72319,0.95622,0.000309437,0.000309437,0.000309437
53,204.039,1.37517,0.67968,0.94824,0.87238,0.90116,0.93182,0.52895,1.53644,0.72319,0.95622,0.00030325,0.00030325,0.00030325
54,209.682,1.38152,0.67427,0.93487,0.90081,0.92147,0.94527,0.54768,1.56097,0.70339,0.96584,0.000297063,0.000297063,0.000297063
55,217.361,1.38669,0.661,0.92552,0.90739,0.90979,0.94454,0.54436,1.55595,0.70738,0.96545,0.000290875,0.000290875,0.000290875
56,220.58,1.3666,0.66947,0.92601,0.90188,0.91556,0.93978,0.55692,1.52761,0.6997,0.95823,0.000284688,0.000284688,0.000284688
57,226.762,1.3583,0.64869,0.92012,0.90188,0.91556,0.93978,0.55692,1.52761,0.6997,0.95823,0.0002785,0.0002785,0.0002785
58,233.336,1.38712,0.66367,0.92141,0.87596,0.90822,0.92599,0.53802,1.5455,0.70106,0.95987,0.000272313,0.000272313,0.000272313
59,237.255,1.3406,0.65447,0.93191,0.858,0.90503,0.92241,0.53778,1.57011,0.69928,0.95995,0.000266125,0.000266125,0.000266125
60,240.366,1.3907,0.68297,0.93814,0.86175,0.90581,0.93282,0.55737,1.52844,0.68312,0.95501,0.000259938,0.000259938,0.000259938
61,249.616,1.31036,0.6398,0.90471,0.86175,0.90581,0.93282,0.55737,1.52844,0.68312,0.95501,0.00025375,0.00025375,0.00025375
62,254.547,1.2907,0.62774,0.90508,0.8708,0.91196,0.94127,0.5638,1.49693,0.66763,0.95567,0.000247563,0.000247563,0.000247563
63,268.589,1.32437,0.64272,0.93642,0.8861,0.91098,0.93007,0.56406,1.51054,0.68041,0.95831,0.000241375,0.000241375,0.000241375
64,272.453,1.34228,0.64294,0.9191,0.89752,0.91255,0.92602,0.56034,1.54725,0.67722,0.96744,0.000235188,0.000235188,0.000235188
65,274.982,1.34666,0.64531,0.92579,0.89752,0.91255,0.92602,0.56034,1.54725,0.67722,0.96744,0.000229,0.000229,0.000229
66,283.72,1.33411,0.64895,0.92136,0.8982,0.90636,0.92467,0.5394,1.58393,0.6683,0.97057,0.000222813,0.000222813,0.000222813
67,286.288,1.28838,0.62742,0.91926,0.84011,0.85335,0.85264,0.511,1.63695,0.68089,0.97936,0.000216625,0.000216625,0.000216625
68,292.193,1.27572,0.61793,0.91269,0.82815,0.85179,0.85903,0.52037,1.62466,0.67579,0.97226,0.000210437,0.000210437,0.000210437
69,294.761,1.27664,0.62701,0.92396,0.82815,0.85179,0.85903,0.52037,1.62466,0.67579,0.97226,0.00020425,0.00020425,0.00020425
70,298.236,1.29958,0.62513,0.9192,0.84679,0.86922,0.87301,0.52644,1.59397,0.66098,0.96101,0.000198063,0.000198063,0.000198063
71,301.03,1.37986,0.64181,0.8942,0.85119,0.87622,0.87371,0.53838,1.57796,0.67173,0.96139,0.000191875,0.000191875,0.000191875
72,303.866,1.31765,0.64106,0.92958,0.86521,0.87292,0.87272,0.52778,1.56126,0.6655,0.96239,0.000185688,0.000185688,0.000185688
73,306.597,1.31227,0.6326,0.91477,0.86521,0.87292,0.87272,0.52778,1.56126,0.6655,0.96239,0.0001795,0.0001795,0.0001795
74,309.59,1.32327,0.64315,0.92422,0.8956,0.90563,0.93644,0.54414,1.55107,0.66748,0.96274,0.000173313,0.000173313,0.000173313
75,312.552,1.29548,0.61761,0.92091,0.86365,0.8686,0.87482,0.53029,1.57177,0.66718,0.96894,0.000167125,0.000167125,0.000167125
76,315.058,1.27206,0.6046,0.90913,0.85836,0.87343,0.87433,0.52116,1.61899,0.67285,0.97608,0.000160938,0.000160938,0.000160938
77,317.847,1.27089,0.61344,0.9231,0.85836,0.87343,0.87433,0.52116,1.61899,0.67285,0.97608,0.00015475,0.00015475,0.00015475
78,323.407,1.25259,0.60908,0.90163,0.85935,0.91078,0.90981,0.52885,1.63334,0.67852,0.97613,0.000148563,0.000148563,0.000148563
79,326.168,1.2488,0.60393,0.90832,0.84864,0.86603,0.86741,0.52142,1.62205,0.67939,0.97433,0.000142375,0.000142375,0.000142375
80,328.916,1.2845,0.62063,0.9104,0.84771,0.8745,0.86832,0.52318,1.59299,0.67318,0.9652,0.000136187,0.000136187,0.000136187
81,331.594,1.27239,0.61689,0.9193,0.84771,0.8745,0.86832,0.52318,1.59299,0.67318,0.9652,0.00013,0.00013,0.00013
82,334.544,1.27549,0.61525,0.92035,0.85082,0.873,0.8692,0.51588,1.58216,0.67454,0.9619,0.000123812,0.000123812,0.000123812
83,337.632,1.27633,0.6083,0.88719,0.85739,0.87116,0.87196,0.5223,1.57436,0.66922,0.95936,0.000117625,0.000117625,0.000117625
84,340.102,1.23944,0.59203,0.90544,0.85055,0.87353,0.87065,0.54121,1.55714,0.66841,0.9554,0.000111438,0.000111438,0.000111438
85,342.858,1.23571,0.60599,0.93985,0.85055,0.87353,0.87065,0.54121,1.55714,0.66841,0.9554,0.00010525,0.00010525,0.00010525
86,345.633,1.22816,0.59335,0.89326,0.85456,0.87496,0.8732,0.54128,1.55284,0.67948,0.95172,9.90625e-05,9.90625e-05,9.90625e-05
87,348.575,1.24435,0.59327,0.90376,0.85551,0.87886,0.87454,0.54055,1.54478,0.66941,0.95232,9.2875e-05,9.2875e-05,9.2875e-05
88,351.68,1.30678,0.60169,0.89097,0.85123,0.87592,0.87027,0.54719,1.53942,0.65762,0.94941,8.66875e-05,8.66875e-05,8.66875e-05
89,354.425,1.24839,0.59328,0.92035,0.85123,0.87592,0.87027,0.54719,1.53942,0.65762,0.94941,8.05e-05,8.05e-05,8.05e-05
90,359.79,1.223,0.58585,0.91251,0.85321,0.87346,0.87103,0.54296,1.53655,0.65422,0.94792,7.43125e-05,7.43125e-05,7.43125e-05
91,365.221,1.27001,0.64771,0.91169,0.84922,0.88023,0.87151,0.54687,1.55019,0.65286,0.94931,6.8125e-05,6.8125e-05,6.8125e-05
92,368.737,1.31345,0.65017,0.94074,0.8507,0.88308,0.87482,0.53969,1.56881,0.65661,0.95289,6.19375e-05,6.19375e-05,6.19375e-05
93,374.547,1.23777,0.61347,0.91719,0.8507,0.88308,0.87482,0.53969,1.56881,0.65661,0.95289,5.575e-05,5.575e-05,5.575e-05
94,377.093,1.24243,0.61677,0.90662,0.8425,0.88424,0.87517,0.54354,1.58488,0.66108,0.95787,4.95625e-05,4.95625e-05,4.95625e-05
95,379.732,1.27359,0.61873,0.90292,0.83608,0.88269,0.87556,0.53991,1.59097,0.66478,0.96087,4.3375e-05,4.3375e-05,4.3375e-05
96,384.65,1.2666,0.61591,0.91686,0.83633,0.88275,0.87584,0.53715,1.59307,0.66689,0.96152,3.71875e-05,3.71875e-05,3.71875e-05
97,387.007,1.22897,0.59701,0.90424,0.83633,0.88275,0.87584,0.53715,1.59307,0.66689,0.96152,3.1e-05,3.1e-05,3.1e-05
98,389.794,1.26172,0.61333,0.88891,0.83275,0.88095,0.87518,0.52957,1.5908,0.66705,0.96162,2.48125e-05,2.48125e-05,2.48125e-05
99,392.912,1.22507,0.60082,0.91275,0.83602,0.88147,0.87498,0.5298,1.58529,0.66832,0.96029,1.8625e-05,1.8625e-05,1.8625e-05
100,395.632,1.22695,0.61627,0.88844,0.83258,0.87825,0.87256,0.52671,1.58439,0.67305,0.96079,1.24375e-05,1.24375e-05,1.24375e-05
