epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34426,2.16702,4.4619,1.33839,0.01654,0.10402,0.02673,0.00863,2.19921,4.77471,1.3716,1.25e-05,1.25e-05,1.25e-05
2,8.67116,2.19064,4.34716,1.33878,0.02807,0.14911,0.02986,0.01459,2.14857,4.49063,1.3214,3.09406e-05,3.09406e-05,3.09406e-05
3,11.7564,1.96968,3.31501,1.24418,0.08294,0.36768,0.14227,0.07227,2.14617,2.84675,1.26567,4.901e-05,4.901e-05,4.901e-05
4,18.2174,1.91253,2.17925,1.18931,0.51923,0.28499,0.28191,0.1425,2.03973,2.128,1.20031,6.67081e-05,6.67081e-05,6.67081e-05
5,21.424,1.78352,1.60979,1.12449,0.63174,0.41785,0.43588,0.23684,1.98343,1.80927,1.15701,8.4035e-05,8.4035e-05,8.4035e-05
6,24.5337,1.77077,1.31819,1.08685,0.63793,0.41315,0.46764,0.26096,1.91776,2.20645,1.1184,0.000100991,0.000100991,0.000100991
7,27.7248,1.69373,1.2083,1.06077,0.51368,0.55869,0.49341,0.26654,1.84941,1.95986,1.09173,0.000117575,0.000117575,0.000117575
8,32.0006,1.71159,1.14268,1.03953,0.40206,0.56268,0.50451,0.29205,1.78843,1.77223,1.07416,0.000133788,0.000133788,0.000133788
9,34.6792,1.68712,1.0862,1.03539,0.51992,0.64966,0.56235,0.31972,1.76149,1.5214,1.05695,0.00014963,0.00014963,0.00014963
10,37.7238,1.72437,1.06287,1.02943,0.50463,0.63889,0.58077,0.34285,1.76667,1.51582,1.0507,0.000165101,0.000165101,0.000165101
11,42.1536,1.61689,0.98374,1.03915,0.64166,0.79707,0.75386,0.41234,1.71783,1.27666,1.03811,0.0001802,0.0001802,0.0001802
12,48.8715,1.53631,0.91524,0.99912,0.61498,0.76028,0.76333,0.43649,1.66186,1.22291,1.02965,0.000194928,0.000194928,0.000194928
13,52.5933,1.59004,0.91575,1.00819,0.73338,0.80407,0.79921,0.44832,1.64734,1.3465,1.01332,0.000209285,0.000209285,0.000209285
14,56.4868,1.60432,0.89314,0.98875,0.7084,0.80132,0.75551,0.40817,1.71201,1.5267,1.01869,0.000223271,0.000223271,0.000223271
15,59.3129,1.54417,0.89141,1.0038,0.57201,0.75602,0.63585,0.34214,1.72913,1.63167,1.02039,0.000236885,0.000236885,0.000236885
16,62.0313,1.6249,0.92682,1.02196,0.75714,0.71956,0.73128,0.39971,1.67474,1.32187,1.01094,0.000250128,0.000250128,0.000250128
17,64.5637,1.55355,0.84344,0.98344,0.70482,0.76248,0.73869,0.44971,1.67467,1.21699,1.01189,0.000263,0.000263,0.000263
18,68.9201,1.58142,0.8586,0.9844,0.68437,0.72102,0.71594,0.42171,1.72588,1.20773,1.0136,0.000275501,0.000275501,0.000275501
19,71.6603,1.56272,0.87385,1.00666,0.69217,0.78708,0.77445,0.45479,1.69567,1.06972,1.00868,0.00028763,0.00028763,0.00028763
20,74.9448,1.49769,0.82624,0.97599,0.73262,0.78624,0.79234,0.48592,1.67503,0.96326,1.00592,0.000299388,0.000299388,0.000299388
21,80.1111,1.51882,0.81165,0.97776,0.80086,0.83647,0.87602,0.48569,1.65958,0.854,1.01276,0.000310775,0.000310775,0.000310775
22,83.1579,1.60911,0.85787,0.98265,0.79144,0.86971,0.88512,0.50051,1.67978,0.86778,1.01904,0.000321791,0.000321791,0.000321791
