epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5033.54,1.50303,0.73458,0.94819,0.83692,0.79999,0.86592,0.48249,1.74295,0.89596,1.05516,0.000196636,0.000196636,0.000196636
42,5144.55,1.53597,0.77779,0.96704,0.82221,0.81598,0.85858,0.47133,1.74816,0.88962,1.0562,0.000191713,0.000191713,0.000191713
43,5234.63,1.50974,0.74585,0.93637,0.82221,0.81598,0.85858,0.47133,1.74816,0.88962,1.0562,0.000186318,0.000186318,0.000186318
44,5317.65,1.4786,0.74811,0.95726,0.84314,0.81245,0.86711,0.48369,1.71657,0.86175,1.04662,0.000180453,0.000180453,0.000180453
45,5403.38,1.47666,0.72857,0.95839,0.84314,0.81245,0.86711,0.48369,1.71657,0.86175,1.04662,0.000174116,0.000174116,0.000174116
46,5501.93,1.53745,0.75373,0.96075,0.81144,0.83616,0.87639,0.48282,1.7035,0.82235,1.0451,0.000167308,0.000167308,0.000167308
47,5596.09,1.44247,0.71324,0.93565,0.81144,0.83616,0.87639,0.48282,1.7035,0.82235,1.0451,0.000160029,0.000160029,0.000160029
48,5695.77,1.47976,0.72322,0.94351,0.8267,0.83334,0.88103,0.49342,1.70032,0.80808,1.0446,0.000152278,0.000152278,0.000152278
49,5781.49,1.42667,0.70148,0.95624,0.8267,0.83334,0.88103,0.49342,1.70032,0.80808,1.0446,0.000144057,0.000144057,0.000144057
50,5868.38,1.48159,0.74483,0.94943,0.82092,0.85106,0.88502,0.48626,1.70105,0.78959,1.04143,0.000135364,0.000135364,0.000135364
51,5954.94,1.57453,0.84768,0.99674,0.82092,0.85106,0.88502,0.48626,1.70105,0.78959,1.04143,0.00012495,0.00012495,0.00012495
52,6047.07,1.49727,0.85071,0.94815,0.84663,0.83775,0.89212,0.4858,1.71822,0.77613,1.03741,0.000113169,0.000113169,0.000113169
53,6132.22,1.47127,0.75701,0.94977,0.84663,0.83775,0.89212,0.4858,1.71822,0.77613,1.03741,0.000101388,0.000101388,0.000101388
54,6231.88,1.50243,0.81004,0.94417,0.87238,0.84737,0.89023,0.49595,1.72696,0.77389,1.03603,8.9607e-05,8.9607e-05,8.9607e-05
55,6325.59,1.59851,0.81091,0.92075,0.87238,0.84737,0.89023,0.49595,1.72696,0.77389,1.03603,7.7826e-05,7.7826e-05,7.7826e-05
56,6417.32,1.47638,0.77126,0.95112,0.88074,0.83927,0.89128,0.50129,1.72609,0.77716,1.02978,6.6045e-05,6.6045e-05,6.6045e-05
57,6514.55,1.48353,0.77991,0.95644,0.88074,0.83927,0.89128,0.50129,1.72609,0.77716,1.02978,5.4264e-05,5.4264e-05,5.4264e-05
58,6602.88,1.4687,0.73303,0.92607,0.87386,0.84409,0.89438,0.50574,1.72057,0.78163,1.02828,4.2483e-05,4.2483e-05,4.2483e-05
59,6684.24,1.43925,0.75705,0.92315,0.87386,0.84409,0.89438,0.50574,1.72057,0.78163,1.02828,3.0702e-05,3.0702e-05,3.0702e-05
60,6766.41,1.40495,0.71093,0.91851,0.87308,0.84504,0.89336,0.50579,1.71949,0.78242,1.02748,1.8921e-05,1.8921e-05,1.8921e-05
